network,scenario_family,parameter,max_risk,mean_risk,affected_nodes,top_node,top_3,outlet_risk,source,location,severity
N1,intermediate_blockage,E:0.25,0.8,0.31945333333333337,6,A,A|B|E,0.24031999999999998,,E,0.25
N1,intermediate_blockage,E:0.5,0.8,0.38941333333333333,6,A,A|E|F,0.4268799999999999,,E,0.5
N1,intermediate_blockage,E:0.75,0.8,0.45937333333333336,6,A,A|E|F,0.61344,,E,0.75
N2,severity,0.25,0.25,0.14539062499999997,8,A,A|C|G,0.12749999999999995,A,,
N2,severity,0.5,0.5,0.29078125000000005,8,A,A|C|G,0.2550000000000001,A,,
N2,severity,0.75,0.75,0.43617187500000004,8,A,A|C|G,0.38250000000000006,A,,
N2,severity,1.0,1.0,0.5815625,8,A,A|C|G,0.51,A,,
N2,lc_stress,0.5,0.8,0.21868749999999998,7,A,A|C|B,0.051000000000000045,,,
N2,lc_stress,0.75,0.8,0.32359375,8,A,A|C|B,0.17212500000000008,,,
N2,lc_stress,1.0,0.8,0.46525000000000005,8,A,A|C|G,0.40800000000000003,,,
N2,lc_stress,1.25,0.8,0.6363281250000001,8,A,A|C|G,0.75,,,
N2,lc_stress,1.5,0.8,0.7106875000000001,8,A,A|C|G,0.8,,,
N2,blockage_location,A,0.75,0.43617187500000004,8,A,A|C|G,0.38250000000000006,,A,0.75
N2,blockage_location,B,0.75,0.20156249999999998,3,B,B|E|D,0.0,,B,0.75
N2,blockage_location,C,0.75,0.289453125,4,C,C|G|H,0.4781249999999999,,C,0.75
N2,blockage_location,D,0.75,0.09375,1,D,D|A|B,0.0,,D,0.75
N2,blockage_location,E,0.75,0.09375,1,E,E|A|B,0.0,,E,0.75
N2,blockage_location,F,0.75,0.09375,1,F,F|A|B,0.0,,F,0.75
N2,blockage_location,G,0.75,0.1640625,2,G,G|H|A,0.5625,,G,0.75
N2,blockage_location,H,0.75,0.09375,1,H,H|A|B,0.75,,H,0.75
N2,intermediate_blockage,B:0.25,0.8,0.5028750000000001,8,A,A|C|B,0.40800000000000003,,B,0.25
N2,intermediate_blockage,B:0.5,0.8,0.5405,8,A,A|B|C,0.40800000000000003,,B,0.5
N2,intermediate_blockage,B:0.75,0.86,0.578125,8,B,B|A|C,0.40800000000000003,,B,0.75
N2,intermediate_blockage,E:0.25,0.8,0.48687500000000006,8,A,A|C|G,0.40800000000000003,,E,0.25
N2,intermediate_blockage,E:0.5,0.8,0.5085000000000001,8,A,A|E|C,0.40800000000000003,,E,0.5
N2,intermediate_blockage,E:0.75,0.827,0.5301250000000001,8,E,E|A|C,0.40800000000000003,,E,0.75
N2,intermediate_blockage,H:0.25,0.8,0.48375000000000007,8,A,A|C|H,0.556,,H,0.25
N2,intermediate_blockage,H:0.5,0.8,0.5022500000000001,8,A,A|H|C,0.704,,H,0.5
N2,intermediate_blockage,H:0.75,0.852,0.52075,8,H,H|A|C,0.852,,H,0.75
N3,severity,0.25,0.55,0.31140383300781255,8,B,B|C|E,0.08554863281250003,A,,
N3,severity,0.5,0.55,0.371848681640625,8,B,B|C|A,0.09736289062500003,A,,
N3,severity,0.75,0.75,0.43229353027343753,8,A,A|C|B,0.10917714843750004,A,,
N3,severity,1.0,1.0,0.49273837890625,8,A,A|C|E,0.12099140624999993,A,,
N3,lc_stress,0.5,0.7,0.23745536834716796,6,A,A|B|C,0.007401716308593764,,,
N3,lc_stress,0.75,0.7,0.3135213749408722,7,A,A|B|C,0.035633949966430656,,,
N3,lc_stress,1.0,0.7,0.420204560546875,8,A,A|C|B,0.10681429687499999,,,
N3,lc_stress,1.25,0.70634765625,0.5505958259105682,8,C,C|E|G,0.24660086631774902,,,
N3,lc_stress,1.5,0.762625,0.6373740258789062,8,C,C|E|G,0.46007736328125004,,,
N3,blockage_location,A,0.75,0.24283007812500002,7,A,A|C|E,0.060328124999999955,,A,0.75
N3,blockage_location,B,0.75,0.34221679687499995,7,B,B|C|E,0.10054687500000004,,B,0.75
N3,blockage_location,C,0.75,0.3312890625,6,C,C|E|G,0.13406249999999997,,C,0.75
N3,blockage_location,D,0.75,0.17109375,3,D,D|F|H,0.24375000000000002,,D,0.75
N3,blockage_location,E,0.75,0.16875,2,E,E|G|A,0.0,,E,0.75
N3,blockage_location,F,0.75,0.1546875,2,F,F|H|A,0.48750000000000004,,F,0.75
N3,blockage_location,G,0.75,0.09375,1,G,G|A|B,0.0,,G,0.75
N3,source_combination,A,0.7,0.22664140624999998,7,A,A|C|E,0.05630625,,,
N3,source_combination,B,0.55,0.250958984375,7,B,B|C|E,0.07373437500000002,,,
N3,source_combination,A+B,0.7,0.420204560546875,8,A,A|C|B,0.10681429687499999,,,
N3,intermediate_blockage,C:0.25,0.7,0.46464560791015636,8,A,A|C|E,0.12479822265625007,,C,0.25
